genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
kawaii future bass,spotify:playlist:1L3GAiiBL5sBNbDEAMGMEA,Voia,"Press Garden Zone (from ""Sonic Mania"")",21,QZ6K41701257,https://www.youtube.com/watch?v=mCGcbXxKSfc,44387
broken beat,spotify:playlist:1rnJHknpDL8e9EjJeI7d1V,"Daz-I-Kue,Hadiya George",Pedigree - Vocal Mix,14,GB7GV1951120,https://www.youtube.com/watch?v=WIFlPutNd5Q,8448
broken beat,spotify:playlist:1rnJHknpDL8e9EjJeI7d1V,Silhouette Brown,Just a Little More,13,GB7WM0900032,https://www.youtube.com/watch?v=wXWVUbM2Nrg,32324
slap house,spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW,"Gökay Ekin,GNRM,AZVRE",Got You,37,GBKQU2130565,https://www.youtube.com/watch?v=xJCa1scH1Aw,9294
slap house,spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW,Starix,Feeling,38,FRS182065803,https://www.youtube.com/watch?v=M3MoFF_8LCs,76436
aggrotech,spotify:playlist:710IY6IOVa3h64CvE0INWb,Extize,In the House - In a Heartbeat - 28 Days Later,38,DEWG82000217,https://www.youtube.com/watch?v=k8f4isKlTrw,7566
eurobeat,spotify:playlist:2FxGFGXJi4yawmWPH5ZYJP,VIRGINELLE,Like A Virgin,12,ITA879400055,https://www.youtube.com/watch?v=Cu9e2uTFsdc,15209
krautrock,spotify:playlist:3IttYEBZxFNRk0J6eZaHDd,Xhol Caravan,All Green,9,USA371249015,https://www.youtube.com/watch?v=9oM3-WY9EfA,12195
eurobeat,spotify:playlist:2FxGFGXJi4yawmWPH5ZYJP,GoGoGirls,COME BACK,10,JPB609470598,https://www.youtube.com/watch?v=3ygUQ21BTJk,11240
slap house,spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW,"Steve Kroeger,Skye Holland",Home,17,NLRD52017453,https://www.youtube.com/watch?v=VHXjBmpf0XM,88806
diva house,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,"Todd Terry,Gypsymen,David Penn",Babarabatiri - David Penn Remix,39,CA7C61800138,https://www.youtube.com/watch?v=xttV_4mVi5w,55553
