genre	pl_id	artist_name	track_name	track_pop	track_isrc
digital hardcore	spotify:playlist:2fqbzU1sBBZ3gW61Q7qYhp	Phantomsmasher	Anubis Innertube	2	USA560932123
digital hardcore	spotify:playlist:2fqbzU1sBBZ3gW61Q7qYhp	Patric C	Sex With Annemone	2	GBBXA9700177
disco polo	spotify:playlist:1HwHGzGFWk5nhDkezPcOAK	SKALAR	Autoriteter	2	DKFD52952008
disco polo	spotify:playlist:1HwHGzGFWk5nhDkezPcOAK	Setus	Ciągle Marzę	2	PLO381501268
diva house	spotify:playlist:0kAFZCbHemKb8RxZhDPZbv	Blas D'Moure	Lover	2	USA371350050
diva house	spotify:playlist:0kAFZCbHemKb8RxZhDPZbv	Jacquetta	My Guy	2	USA371350128
diva house	spotify:playlist:0kAFZCbHemKb8RxZhDPZbv	Dee Dee Simone	What Are We Doing - MU Album Edit	2	USET90700117
doomcore	spotify:playlist:3OFavLb9tW7gAThaWdthHx	Fracture 4	Thank You For Breaking My Heart	2	DEAR41228063
doomcore	spotify:playlist:3OFavLb9tW7gAThaWdthHx	Stan Grewzell	Evac	2	NLH3D1700051
doomcore	spotify:playlist:3OFavLb9tW7gAThaWdthHx	Hidden Rooms	Being Hunted	2	NLH3D1900011
doomcore	spotify:playlist:3OFavLb9tW7gAThaWdthHx	Rude Awakening	Hostile	2	USASN1505713
doomcore	spotify:playlist:3OFavLb9tW7gAThaWdthHx	Hamunaptra,Endymion	Sence of Another World	2	NLHY50900074
doomcore	spotify:playlist:3OFavLb9tW7gAThaWdthHx	demanufacturer	Peace of Our Time	2	USZUT1600139
downtempo	spotify:playlist:5zxj55xrB53As97uvt5x8x	Under	Under	2	ushm20619315
dream trance	spotify:playlist:0m1icO5Ea5t8btM4xQ7mHT	Die Kreuzritter,Carlos Perón	Der Komtur - Kurze Fassung	2	DEL422001357
dream trance	spotify:playlist:0m1icO5Ea5t8btM4xQ7mHT	A.T. Project	Into The Sun - Vocal Edit	2	DEBL60500286
dream trance	spotify:playlist:0m1icO5Ea5t8btM4xQ7mHT	Mosquito Headz	El Ritmo 2K11 - Beach Mix	2	DEN951103712
dream trance	spotify:playlist:0m1icO5Ea5t8btM4xQ7mHT	DJ Phantasma	Sing Another Love Song - Radio Edit	2	DEBL60504193
