genre	maingenre	sp_id	yt_id	artist_name	track_name	ISRC	pop	viewCount	yt_link
ambient	ambient	5wxPCweNdp48S1mAbER3Z9	7TOqkEUPJQs	Visible Cloaks	Arcoíris	US6PQ2100125	32	422	https://www.youtube.com/watch?v=7TOqkEUPJQs
ambient	ambient	56qj6FXaTfdFXpYhRZGyGc	s2mLSf4Xz1Y	Ishq,Yunomi	Fire Flys	QM7281410797	37	1676	https://www.youtube.com/watch?v=s2mLSf4Xz1Y
ambient	ambient	7JSaagEtP07BPxV9MaGKlE	FmNvkc2E2sY	Meg Bowles	Glacial Dawn	uscgh1164994	35	27074	https://www.youtube.com/watch?v=FmNvkc2E2sY
ambient	ambient	2RWxRXIiwbcKEaplXoplUv	VsKzWTyKl8o	Aix Em Klemm	The Girl With the Flesh Colored Crayon	USI4R0401866	39	2294	https://www.youtube.com/watch?v=VsKzWTyKl8o
ambient	ambient	2d7FoK7amJiLOk6S0IT8AS	9wH_8J65Utw	Felicia Atkinson,Jefre Cantu-Ledesma	ME	DEX261600110	32	3095	https://www.youtube.com/watch?v=9wH_8J65Utw
ambient	ambient	7Bmly3CiAzTDR6FPK3TIXF	iuAcxGgo804	Ian Boddy,Markus Reuter	Crescent	GBJJM1300022	14	329	https://www.youtube.com/watch?v=iuAcxGgo804
ambient	ambient	69IHiAwsJpUbkaF5WwBoQY	8HFF0ECwlEk	Phillip Wilkerson	The Edge of Being	QZFFG2000204	33	4566	https://www.youtube.com/watch?v=8HFF0ECwlEk
ambient	ambient	5z90zcaBAvrZmCeOg8ASs3	sdBoiAcjnq4	Mathias Grassow	Fading Light	ushm21396502	31	86161	https://www.youtube.com/watch?v=sdBoiAcjnq4
ambient	ambient	476JhNFrzRHoJXfYNBbHgq	VJA6ucUcj6k	Pete Namlook	Eternal Spirit - Northern Mix	QZDA82194979	13	38116	https://www.youtube.com/watch?v=VJA6ucUcj6k
ambient	ambient	78xNbv5I6RZKqEvuHt3x8N	9pFp-nfBtQg	The Black Dog	Chesh	GBBPW9500019	11	2499	https://www.youtube.com/watch?v=9pFp-nfBtQg
ambient	ambient	2kt76GkaMt42ruglOBdkXM	6Wny9gSaWYo	Matt Borghi	Ambient Guitar - Sky Gray	QMFME2195019	36	14	https://www.youtube.com/watch?v=6Wny9gSaWYo
ambient	ambient	799Rn8baGwbIwllfDw2yl6	EBi3PxLkS64	Labradford	P	USI4R0402112	40	22936	https://www.youtube.com/watch?v=EBi3PxLkS64
ambient	ambient	35YBpp7aLaH9wJd1QuQF3i	Omlyg1xW2-Y	Nobuto Suda	Nine	DEBL60539412	41	322	https://www.youtube.com/watch?v=Omlyg1xW2-Y
ambient	ambient	4iJFuDgYbssGiKSZtWYyLl	zP_7NljRuOk	Oophoi	Darklands	usx9p1138693	12	370	https://www.youtube.com/watch?v=zP_7NljRuOk
ambient	ambient	1E3bvx82Sy1im1UyWX1uel	h4vReZwG2ss	vidnaObmana	Night-Blooming	USHK99618504	23	2819	https://www.youtube.com/watch?v=h4vReZwG2ss
ambient	ambient	7Cf1HvOY9EsBCrcjYdAK6u	1SqfurP8aVk	Belong	I Never Lose. Never Really	US22N0503101	34	3478	https://www.youtube.com/watch?v=1SqfurP8aVk
ambient	ambient	23oCCiqAEjS3js1L0Co3VU	CXOWPbzuVeE	Numina,Zero Ohms	Night of the Falling Planets	USSP51590011	22	473	https://www.youtube.com/watch?v=CXOWPbzuVeE
ambient	ambient	7DxrpQ64RjENyP4j8z8p0s	L5jVXSbcwII	Arovane	Tokyo Ghost Stories	DEX700400052	28	85038	https://www.youtube.com/watch?v=L5jVXSbcwII
ambient	ambient	6LdUNg6xTMeVApgd8Ko0e2	aUYAfF8xkdw	Spacecraft	Earthtime Tapestry	uscgh0520204	29	6390	https://www.youtube.com/watch?v=aUYAfF8xkdw
ambient dub techno	ambient	3t77AfBKRaeOFd2NDHVduK	c0Kt2RAQeIc	Brickman	Zero Gravity	DEH741503623	32	9096	https://www.youtube.com/watch?v=c0Kt2RAQeIc
ambient dub techno	ambient	2KkIKY9UQfSi1TQizmb8A6	Bn_OwczAi-4	Biodub	Reminder	DEU671101769	29	19662	https://www.youtube.com/watch?v=Bn_OwczAi-4
ambient dub techno	ambient	0DxV8iMQuWxo8tbyK4g2w3	FgqDYdCLldQ	Martin Nonstatic	Granite	USA2P1547191	23	5065	https://www.youtube.com/watch?v=FgqDYdCLldQ
ambient dub techno	ambient	75ftDJyjmx3TxZuy2C0tZy	FC5gClf4V0A	Ohrwert	Asphere	FR9W11300901	21	717	https://www.youtube.com/watch?v=FC5gClf4V0A
ambient dub techno	ambient	0YaOXel67d5gAEcsv3ATIb	_9RWK4AErJw	Textural Being	Algebra	DEH741208785	19	3084	https://www.youtube.com/watch?v=_9RWK4AErJw
ambient dub techno	ambient	5rBZ9qVHwrgXMhwl37gT9g	3pPlS5ctHB0	Dublicator	Souldance	US83Z1656115	33	6840	https://www.youtube.com/watch?v=3pPlS5ctHB0
ambient dub techno	ambient	6qI5T9ZRpr7G2tOtUSJIq2	UYOJ42GFpw0	Overcast Sound	Listing, Sinking	DEH741643048	21	2546	https://www.youtube.com/watch?v=UYOJ42GFpw0
