genre	maingenre	sp_id	yt_id	artist_name	track_name	ISRC	pop	viewCount	yt_link
ambient industrial	ambient	41MckXDeROpAmnmXqrU0ZP	NwhnrG7WyhE	Controlled Bleeding	Words of the Dying	USI4R1014099	19	40794	https://www.youtube.com/watch?v=NwhnrG7WyhE
ambient industrial	ambient	7mwTCKs38oyZafiywx46O8	JCnfb-2oeuw	Brighter Death Now	Promises of Death	QM7281465645	15	3873	https://www.youtube.com/watch?v=JCnfb-2oeuw
ambient industrial	ambient	7c9VKhB0Z5THXqSc3S7mSG	GItZqLLoqaY	Deutsch Nepal	Carrions Still Walkin'	SEXJI9300106	13	5546	https://www.youtube.com/watch?v=GItZqLLoqaY
ambient industrial	ambient	0tQyYXlCCZxXgari5slP3Y	rBHfVMkaNd8	De Fabriek	Het Terrein	NLX1G1800042	11	3854	https://www.youtube.com/watch?v=rBHfVMkaNd8
ambient industrial	ambient	4dEyqMjmuOKQKuzrMpiuRp	u-5L0vkBGdQ	Cyclobe	Tarot	GBR5T1000015	9	13383	https://www.youtube.com/watch?v=u-5L0vkBGdQ
ambient industrial	ambient	5V3z4lyBXJUBXcbv0ri0uI	Wrq84yClS1E	Lustmord	Goetia	TCABO1381383	32	60401	https://www.youtube.com/watch?v=Wrq84yClS1E
ambient industrial	ambient	5I8k4cn0nsOgjgVmifumRd	QSZrgH-B4DQ	Thomas Köner	Ilira	GBJSN1007001	33	5156	https://www.youtube.com/watch?v=QSZrgH-B4DQ
ambient industrial	ambient	3vSoXEST3ZPNoQTxJsIIpq	xTl_3TzRMi8	Genocide Organ	Klaus Barbie	DEKB31010003	16	10286	https://www.youtube.com/watch?v=xTl_3TzRMi8
ambient techno	techno	6evJpAEl3mQs8EnZPMvumL	FsS2sxMpbuM	Deepbass,Ness	Les Planes - Original Mix	NLCK41050656	27	4178	https://www.youtube.com/watch?v=FsS2sxMpbuM
ambient techno	techno	49gZg2qvjLBEmwRVMKNSmj	QpeUapdx82w	Feral	Court of Light	NLCK41053446	19	18562	https://www.youtube.com/watch?v=QpeUapdx82w
ambient techno	techno	1IYM7B6AMFbGHvQfbGJQNB	Zq5hU-ZAC80	Skymn	Subterrane 3	NLCK41035487	11	5777	https://www.youtube.com/watch?v=Zq5hU-ZAC80
ambient techno	techno	3l9EDu6HvX3ognoEOTKA6P	YxK2x5udpxY	Neel	Treja	BEN581700513	11	5924	https://www.youtube.com/watch?v=YxK2x5udpxY
ambient techno	techno	3Bq8lk2qUwEt7RK5B0nvta	CepTe-jITLg	ishi vu	This is your Life	GBENL2002856	38	14668	https://www.youtube.com/watch?v=CepTe-jITLg
ambient techno	techno	7CyX9WjaFJABofyBAq0F2Q	zFJ8jnzw-T4	Anastasia Kristensen	Going Back In Time	NLCK41043000	15	29286	https://www.youtube.com/watch?v=zFJ8jnzw-T4
