,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
15042,slap house,spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW,"Gökay Ekin,GNRM,AZVRE",Got You,37,GBKQU2130565,https://www.youtube.com/watch?v=xJCa1scH1Aw,9294
15043,slap house,spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW,Starix,Feeling,38,FRS182065803,https://www.youtube.com/watch?v=M3MoFF_8LCs,76436
708,aggrotech,spotify:playlist:710IY6IOVa3h64CvE0INWb,Extize,In the House - In a Heartbeat - 28 Days Later,38,DEWG82000217,https://www.youtube.com/watch?v=k8f4isKlTrw,7566
6858,eurobeat,spotify:playlist:2FxGFGXJi4yawmWPH5ZYJP,GoGoGirls,COME BACK,10,JPB609470598,https://www.youtube.com/watch?v=3ygUQ21BTJk,11240
15061,slap house,spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW,"Steve Kroeger,Skye Holland",Home,17,NLRD52017453,https://www.youtube.com/watch?v=VHXjBmpf0XM,88806
4828,diva house,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,Kim English,Nitelife - Armand Van Helden Retail Mix,38,USNRS1128427,https://www.youtube.com/watch?v=LKhiXu1sz8E,37112
10975,krautrock,spotify:playlist:3IttYEBZxFNRk0J6eZaHDd,"Cluster,Eno",Ho Renomo,39,DELI50800082,https://www.youtube.com/watch?v=7eaMUhkrJ5Y,30545
4832,diva house,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,"Joi Cardwell,Maceo Plex,Jon Dasilva",Love Somebody Else - Maceo Plex & John Dasilva Mix,35,FR6V82655464,https://www.youtube.com/watch?v=fIqu-zBCTXE,31656
4836,diva house,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,Robert Owens,I'll Be Your Friend - Original Mix (2011 Remastered Version),33,GBENT0110211,https://www.youtube.com/watch?v=FIuuy4PM7u0,6196
10980,krautrock,spotify:playlist:3IttYEBZxFNRk0J6eZaHDd,Harmonia,Veteranissimo - Live,35,GBLAZ0500145,https://www.youtube.com/watch?v=FpakAmF68JA,58140
13029,new wave,spotify:playlist:1ydxatu4wrujF0H2hGU8IR,The Associates,Party Fears Two,39,UKCUL8200008,https://www.youtube.com/watch?v=-Lx1_Add-z4,79518
744,aggrotech,spotify:playlist:710IY6IOVa3h64CvE0INWb,Grendel,Harsh Generation,28,US57M0748902,https://www.youtube.com/watch?v=DC818JU-eCI,84603
13035,nintendocore,spotify:playlist:0oSBswMPV792Pth26EyI7N,Bubblegum Octopus,Loud Noise In My Room,16,TCAAW1168488,https://www.youtube.com/watch?v=TEGV-lAaG7M,52204
15090,slap house,spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW,Sandronix,Rhythm Is a Dancer,35,QZK6M2024620,https://www.youtube.com/watch?v=b8zk6Fy71TU,76723
756,aggrotech,spotify:playlist:710IY6IOVa3h64CvE0INWb,Nitro/Noise,Built for War,20,DEZ901600446,https://www.youtube.com/watch?v=8OqRDd4IuTU,74338
13045,nintendocore,spotify:playlist:0oSBswMPV792Pth26EyI7N,Gidropony,Happy Idiots,15,RUA1H1512987,https://www.youtube.com/watch?v=QxNw17BjeD8,5856
15094,soulful house,spotify:playlist:5KloWVVDflJ495FWRbh0QE,"Reel People,Navasha Daya,John Morales",Can't Fake The Feeling - John Morales M+M Main Mix,38,GB7GV1809455,https://www.youtube.com/watch?v=L0JeFk8R8tw,43321
