,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
8864,hardcore breaks,spotify:playlist:3Xf5DQq60Gssc5ccah89wW,"UFO Project,Leo Wood,Hidden Face",New Dawn - Hidden Face Remix,42,CA5KR2118244,https://www.youtube.com/watch?v=XS-ohsqn8L0,3444
6820,eurobeat,spotify:playlist:2FxGFGXJi4yawmWPH5ZYJP,DOMINO,TORA TORA TORA,29,ITA879400363,https://www.youtube.com/watch?v=ZzHO1yDGE3Y,162676
682,afroswing,spotify:playlist:5cxxxlEnpCUjwB3YdHMYEd,"Loco X Eazzy,Prez",Trainers,26,TCAEU2024976,https://www.youtube.com/watch?v=HdRCHy3BTME,28783
10933,kawaii future bass,spotify:playlist:1L3GAiiBL5sBNbDEAMGMEA,"kamome sano,TEA",starlights,27,TCJPE1667524,https://www.youtube.com/watch?v=b5E4Q9_DC5A,43280
8888,hardcore breaks,spotify:playlist:3Xf5DQq60Gssc5ccah89wW,Nu-matic,Hard Times,14,GBBKS9200069,https://www.youtube.com/watch?v=auv_hQ5HJL4,27207
10938,kawaii future bass,spotify:playlist:1L3GAiiBL5sBNbDEAMGMEA,Syui,Virtual Rush,22,QZDA51839608,https://www.youtube.com/watch?v=NuU-TFWUnIs,204934
2747,broken beat,spotify:playlist:1rnJHknpDL8e9EjJeI7d1V,"Kay Suzuki,Z Lovecraft",Juno Psycle,16,DEG932000356,https://www.youtube.com/watch?v=6PG-lFKGXYA,1114
6845,eurobeat,spotify:playlist:2FxGFGXJi4yawmWPH5ZYJP,The Snake,QUEEN OF MEAN,15,ITZE51800210,https://www.youtube.com/watch?v=nNr3L8H8gV0,59787
10955,krautrock,spotify:playlist:3IttYEBZxFNRk0J6eZaHDd,McChurch Soundroom,Delusion - Remastered,9,DEC371300549,https://www.youtube.com/watch?v=_X7-Z3wzx08,2709
4829,diva house,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,Martha Wash,Carry On,37,USRC19205834,https://www.youtube.com/watch?v=MDq2E0llkXw,222871
13026,new wave,spotify:playlist:1ydxatu4wrujF0H2hGU8IR,Scritti Politti,Perfect Way,43,GBAAA8500175,https://www.youtube.com/watch?v=s-P94UFne-w,141207
15075,slap house,spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW,"SotoMoto,Aditii",Nightmares,28,QZKDK2186690,https://www.youtube.com/watch?v=whw5YtKbwkg,1080
4838,diva house,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,"Deep Dish,Richard Morel,BT",Mohammad Is Jesus...,31,GBARS9800064,https://www.youtube.com/watch?v=hG7dlGwBefU,4782
13032,new wave,spotify:playlist:1ydxatu4wrujF0H2hGU8IR,Shriekback,My Spine Is The Bassline,36,DEG930690195,https://www.youtube.com/watch?v=gp21F4fimkc,233333
10986,krautrock,spotify:playlist:3IttYEBZxFNRk0J6eZaHDd,Embryo,Wajang Woman,32,DEC531710511,https://www.youtube.com/watch?v=OAmEgXmhY9Y,4912
13035,nintendocore,spotify:playlist:0oSBswMPV792Pth26EyI7N,Bubblegum Octopus,Loud Noise In My Room,16,TCAAW1168488,https://www.youtube.com/watch?v=TEGV-lAaG7M,52204
771,aggrotech,spotify:playlist:710IY6IOVa3h64CvE0INWb,Nurzery [Rhymes],Circle of Pain,15,DEL360700446,https://www.youtube.com/watch?v=FCzE5-JctUs,261394
15111,soulful house,spotify:playlist:5KloWVVDflJ495FWRbh0QE,"Jon Cutler,Eric Clark",It's Yours - Original Distant Music,19,DEN120110364,https://www.youtube.com/watch?v=eesqwHxGw6w,346745
781,aggrotech,spotify:playlist:710IY6IOVa3h64CvE0INWb,"Tamtrum,Rose Hreidmarr from Anorexia Nervosa",My Fall,12,BEC260607306,https://www.youtube.com/watch?v=oBp6Wi2WYxI,5225
8977,hardstyle,spotify:playlist:49gROGYXXsoGl3DQxGcmdb,Scabtik,TMY,41,NLS762000192,https://www.youtube.com/watch?v=DMKjnUTMUrM,15995
13081,nintendocore,spotify:playlist:0oSBswMPV792Pth26EyI7N,Batphone,Zelda 2: The Adventure of Link (Hyrule Temple),14,US25T0889765,https://www.youtube.com/watch?v=_6TgrdBp0rw,868
2844,brostep,spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0,"Boss Doms,Piero Pirupa",How Do You Feel?,44,ITO3P2110012,https://www.youtube.com/watch?v=Fs027akMWQg,12627
6941,eurodance,spotify:playlist:4jw4G9J55p7tXV2xEAGUj4,Sonic Dream Collective,"Oh, Baby All",41,SERJR9503030,https://www.youtube.com/watch?v=Rrq9itWB2GM,4578205
4898,doomcore,spotify:playlist:3OFavLb9tW7gAThaWdthHx,Celsius,Ndiyende,19,FR59R1789754,https://www.youtube.com/watch?v=E-qCh4sBT68,1151359
6953,eurodance,spotify:playlist:4jw4G9J55p7tXV2xEAGUj4,Tina Cousins,Mysterious Times,24,GBAWV9800998,https://www.youtube.com/watch?v=y1T1dS-bh4s,19318626
4908,doomcore,spotify:playlist:3OFavLb9tW7gAThaWdthHx,Embrionyc,The Difference Between Water & Tears,10,NLTC31301449,https://www.youtube.com/watch?v=zyXIzE2QhZ8,788
2867,brostep,spotify:playlist:6dvgLyeXG3HLGqtMa8wAX0,The Frim,Swipe My Swords,35,UK7H21500103,https://www.youtube.com/watch?v=JNe_jzYQbM4,429128
9042,hardstyle,spotify:playlist:49gROGYXXsoGl3DQxGcmdb,Heatwavez,Falling,27,BEB682100257,https://www.youtube.com/watch?v=HOwTWIW_SbU,17725
15191,soulful house,spotify:playlist:5KloWVVDflJ495FWRbh0QE,Steven Stone,All I Need Is Love - Stevie Mix,14,ITIYT1903511,https://www.youtube.com/watch?v=_OuYLGHkrBk,17969034
