participant	age:1	gender:1	gender:other	citizenship:1	residence:1	education:1	mb1:1	mb2:1	mb3:1	mb4:1	mb4:other	mb5:1	af:1	af:2	af:3	af:4	af:5	af:6	af:7	af:8	af:9	af:10	af:11	af:12	af:13	af:14	af:15	af:16	af:17	af:18	af:19	af:20	gf:1	gf:2	gf:3	gf:4	gf:5	gf:6	gf:7	gf:8	gf:9	gf:10	gf:11	gf:12	gf:13	gf:14	gf:15	gf:16	gf:17	gf:18	gf:19	gf:20	guttman:1	guttman:2	guttman:3	guttman:4	guttman:5	PROLIFIC_PID	STUDY_ID	SESSION_ID	TIME_start	TIME_end	TIME_total
s.b978ce54-ffed-4112-a45b-b102601f9be1.txt	2	2		Italy	Italy	3	4	3	4	2		4	3	1	2	2	1	3	1	1	1	1	1	1	1	1	3	1	3	2	1	2	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	2	60957b300f08087b0af0031c	6269053ac9ca43d823c77778	6270fedb81f0e51261c7791e	2022-05-03-12-07	2022-05-03-12-09	2
s.feda2bb2-464c-406e-aafd-2428687e5249.txt	2	2		Italy	Italy	3	4	3	4	2		2	3	1	3	3	3	3	3	3	3	3	3	3	1	3	1	3	3	2	3	3	2	2	3	2	1	2	1	1	1	1	3	3	1	3	3	2	3	1	3	1	1	1	1	1	1	6082f09379b513197ffeb54e	6269053ac9ca43d823c77778	6270feaed0c2c0f7b6982e1f	2022-05-03-12-07	2022-05-03-12-09	2
s.fc41db9b-08dc-4f0f-a7d1-c561235acf15.txt	2	2		italy	italy	2	4	3	2	1		2	3	1	1	1	1	2	3	2	1	3	3	3	1	3	1	1	3	3	2	3	2	1	1	1	1	1	1	1	3	1	2	3	1	2	1	3	3	1	2	1	1	1	2	2	2	601d1f2eb0377e059463b351	6269053ac9ca43d823c77778	6270feda1c5a1ff5684f9113	2022-05-03-12-07	2022-05-03-12-09	2
s.971f9694-29f1-492c-a826-fe2a7430c8f7.txt	2	1		Italy	Italy	2	4	2	3	2		4	1	1	2	1	1	1	3	3	1	1	1	3	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	3	1	1	3	1	1	1	1	1	1	1	1	1	2	5f54ad0cbb2be4806841d75c	6269053ac9ca43d823c77778	6270fefe44718161551f665c	2022-05-03-12-08	2022-05-03-12-09	1
s.e9d22aa4-d221-4621-8806-356e6cfcfd1c.txt	2	2		Italy	Italy	2	4	3	3	2		3	3	1	3	3	2	3	3	2	3	3	2	3	2	3	1	3	3	3	3	3	1	1	3	1	1	1	2	1	2	1	2	3	1	2	2	1	3	1	1	1	1	1	1	1	1	615094c9a1ba0233a8c3ccc4	6269053ac9ca43d823c77778	6270fea67928eac8cd12c2b4	2022-05-03-12-08	2022-05-03-12-10	2
s.b230db07-9290-4d9a-8545-60b3588a90ea.txt	2	1		italy	italy	3	4	3	2	2		3	1	1	2	1	1	3	3	3	3	2	2	3	1	2	1	2	2	1	3	3	1	1	2	1	1	1	1	1	1	1	1	3	1	3	2	3	3	1	2	1	1	1	2	2	2	5fb7ba6eddba6439e8717276	6269053ac9ca43d823c77778	6270feecd62d9df3bf59382d	2022-05-03-12-08	2022-05-03-12-20	12
s.967e7793-a562-43a9-874f-10ace5a114a0.txt	2	1		Italia	Foggia	2	3	3	2	2		1	3	1	3	1	3	1	3	1	3	2	3	3	1	1	1	3	1	1	3	3	1	2	2	2	1	1	3	1	3	1	1	3	1	3	3	1	3	1	1	1	1	1	1	1	2	5fe715e39bca6f4ff8393326	6269053ac9ca43d823c77778	6270feff89266b759cb54dfa	2022-05-03-12-08	2022-05-03-12-10	2
s.50664e1a-1887-46f9-bfc8-591d32e3a895.txt	4	1		Italy	Italy	2	5	3	5	2		1	1	1	3	1	3	1	3	3	3	1	1	3	3	3	3	3	1	1	3	1	1	1	3	1	1	1	1	1	1	1	3	3	1	3	1	1	3	1	1	1	1	1	1	2	2	5e482f13410cd9000bc937bb	6269053ac9ca43d823c77778	6270fef423858bd708e347b0	2022-05-03-12-08	2022-05-03-12-10	2
s.0a9902ea-04be-46b8-a29a-464b7b41de9e.txt	3	1		Italy	Italy	2	5	4	5	2		4	3	1	2	1	3	3	2	2	3	1	1	3	1	1	3	3	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	3	1	3	1	2	3	1	1	1	1	1	1	1	1	5d83908c167afc00192098da	6269053ac9ca43d823c77778	6270ff0739942b2690561d09	2022-05-03-12-08	2022-05-03-12-10	2
s.0530f36d-7b09-46e2-ab38-7fbb44389983.txt	3	1		Italy	Italy	3	5	4	3	2		2	1	1	3	1	2	3	3	3	3	1	2	3	1	1	1	3	2	2	3	3	2	3	3	3	1	1	3	2	3	1	2	3	1	3	1	3	3	1	2	2	1	1	1	1	1	60f1881264ff3a7f211d186a	6269053ac9ca43d823c77778	6270fe7fc093801eda8086f0	2022-05-03-12-08	2022-05-03-12-10	2
s.6e039c9e-aa88-41a5-81ca-ec74f2a7e26f.txt	3	1		Italy 		3	5	4	4	2		2	2	1	3	1	3	1	3	1	3	1	1	3	1	1	1	3	2	1	3	3	1	1	3	1	1	1	1	1	3	1	2	3	1	3	2	3	3	1	3	1	1	1	1	2	2	615db8621a77715a3f2e6b54	6269053ac9ca43d823c77778	6270fed7bc9f19b4a106a24a	2022-05-03-12-09	2022-05-03-12-13	4
